[2023-11-28 15:56:44.179] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.38013@2055.3, ask=4.3581@2057.38, ts=2023-11-28 21:56:44.327462+00:00)
[2023-11-28 15:56:44.181] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.76435@2055.7, ask=4.3581@2057.38, ts=2023-11-28 21:56:44.327918+00:00)
[2023-11-28 15:56:58.646] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.835814@37982.635, ask=0.275476@38033.034, ts=2023-11-28 21:56:58.769977+00:00)
[2023-11-28 15:56:58.656] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.835814@37982.635, ask=0.8303@38047.089, ts=2023-11-28 21:56:58.770074+00:00)
[2023-11-28 15:56:58.660] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.560169@37982.398, ask=0.8303@38047.089, ts=2023-11-28 21:56:58.770314+00:00)
[2023-11-28 15:56:58.663] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.560169@37982.398, ask=0.27671@38014.7, ts=2023-11-28 21:56:58.770442+00:00)
[2023-11-28 15:56:58.666] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.277966@37980.602, ask=0.27671@38014.7, ts=2023-11-28 21:56:58.771090+00:00)
[2023-11-28 15:56:58.669] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.5598@37984.667, ask=0.27671@38014.7, ts=2023-11-28 21:56:58.772366+00:00)
[2023-11-28 15:56:59.840] [44621:6383955968] [INFO] [gateway_alpaca -> data] Bar (venue=Venue.ALPACA, symbol=ETH/USD, open=2056.54, high=2056.54, low=2056.54, close=2056.54, volume=0.0, ts=2023-11-28 21:56:00+00:00)
[2023-11-28 15:57:01.962] [44621:6383955968] [INFO] [gateway_alpaca -> data] Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37988.545, high=37988.545, low=37988.545, close=37988.545, volume=0.0, ts=2023-11-28 21:56:00+00:00)
